I10 Dx	MDC	DRG(s)	ICD-10-CM Description
E0941	Pre	8	Drug or chemical induced diabetes mellitus with neurological complications with diabetic mononeuropathy
	Pre	10	
	1	073-074	
E0942	Pre	8	Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy
	Pre	10	
	1	073-074	
E0943	Pre	8	Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy
	Pre	10	
	1	073-074	
E0944	Pre	8	Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy
	Pre	10	
	1	073-074	
E0949	Pre	8	Drug or chemical induced diabetes mellitus with neurological complications with other diabetic neurological complication
	Pre	10	
	1	073-074	
E0951	Pre	8	Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene
	Pre	10	
	5	299-301	
E0952	Pre	8	Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene
	Pre	10	
	5	299-301	
E0959	Pre	8	Drug or chemical induced diabetes mellitus with other circulatory complications
	Pre	10	
	5	299-301	
E09610	Pre	8	Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy
	Pre	10	
	1	073-074	
E09618	Pre	8	Drug or chemical induced diabetes mellitus with other diabetic arthropathy
	Pre	10	
	10	637-639	
E09620	Pre	8	Drug or chemical induced diabetes mellitus with diabetic dermatitis
	Pre	10	
	10	637-639	
E09621	Pre	8	Drug or chemical induced diabetes mellitus with foot ulcer
	Pre	10	
	10	637-639	
E09622	Pre	8	Drug or chemical induced diabetes mellitus with other skin ulcer
	Pre	10	
	10	637-639	
E09628	Pre	8	Drug or chemical induced diabetes mellitus with other skin complications
	Pre	10	
	10	637-639	
E09630	Pre	8	Drug or chemical induced diabetes mellitus with periodontal disease
	Pre	10	
	10	637-639	
E09638	Pre	8	Drug or chemical induced diabetes mellitus with other oral complications
	Pre	10	
	10	637-639	
E09641	Pre	8	Drug or chemical induced diabetes mellitus with hypoglycemia with coma
	Pre	10	
	10	637-639	
E09649	Pre	8	Drug or chemical induced diabetes mellitus with hypoglycemia without coma
	Pre	10	
	10	637-639	
E0965	Pre	8	Drug or chemical induced diabetes mellitus with hyperglycemia
	Pre	10	
	10	637-639	
E0969	Pre	8	Drug or chemical induced diabetes mellitus with other specified complication
	Pre	10	
	10	637-639	
E098	Pre	8	Drug or chemical induced diabetes mellitus with unspecified complications
	Pre	10	
	10	637-639	
E099	Pre	8	Drug or chemical induced diabetes mellitus without complications
	Pre	10	
	10	637-639	
E1010	Pre	8	Type 1 diabetes mellitus with ketoacidosis without coma
	Pre	10	
	10	637-639	
E1011	Pre	8	Type 1 diabetes mellitus with ketoacidosis with coma
	Pre	10	
	10	637-639	
E1021	Pre	8	Type 1 diabetes mellitus with diabetic nephropathy
	Pre	10	
	11	673-675	
	11	698-700	
E1022	Pre	8	Type 1 diabetes mellitus with diabetic chronic kidney disease
	Pre	10	
	11	673-675	
	11	698-700	
E1029	Pre	8	Type 1 diabetes mellitus with other diabetic kidney complication
	Pre	10	
	11	673-675	
	11	698-700	
E10311	Pre	8	Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E10319	Pre	8	Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E10321	Pre	8	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E10329	Pre	8	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E10331	Pre	8	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E10339	Pre	8	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E10341	Pre	8	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E10349	Pre	8	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E10351	Pre	8	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E10359	Pre	8	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E1036	Pre	8	Type 1 diabetes mellitus with diabetic cataract
	Pre	10	
	2	124-125	
E1039	Pre	8	Type 1 diabetes mellitus with other diabetic ophthalmic complication
	Pre	10	
	2	124-125	
E1040	Pre	8	"Type 1 diabetes mellitus with diabetic neuropathy, unspecified"
	Pre	10	
	1	073-074	
E1041	Pre	8	Type 1 diabetes mellitus with diabetic mononeuropathy
	Pre	10	
	1	073-074	
E1042	Pre	8	Type 1 diabetes mellitus with diabetic polyneuropathy
	Pre	10	
	1	073-074	
E1043	Pre	8	Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy
	Pre	10	
	1	073-074	
E1044	Pre	8	Type 1 diabetes mellitus with diabetic amyotrophy
	Pre	10	
	1	073-074	
E1049	Pre	8	Type 1 diabetes mellitus with other diabetic neurological complication
	Pre	10	
	1	073-074	
E1051	Pre	8	Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
	Pre	10	
	5	299-301	
E1052	Pre	8	Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene
	Pre	10	
	5	299-301	
E1059	Pre	8	Type 1 diabetes mellitus with other circulatory complications
	Pre	10	
	5	299-301	
E10610	Pre	8	Type 1 diabetes mellitus with diabetic neuropathic arthropathy
	Pre	10	
	1	073-074	
E10618	Pre	8	Type 1 diabetes mellitus with other diabetic arthropathy
	Pre	10	
	10	637-639	
E10620	Pre	8	Type 1 diabetes mellitus with diabetic dermatitis
	Pre	10	
	10	637-639	
E10621	Pre	8	Type 1 diabetes mellitus with foot ulcer
	Pre	10	
	10	637-639	
E10622	Pre	8	Type 1 diabetes mellitus with other skin ulcer
	Pre	10	
	10	637-639	
E10628	Pre	8	Type 1 diabetes mellitus with other skin complications
	Pre	10	
	10	637-639	
E10630	Pre	8	Type 1 diabetes mellitus with periodontal disease
	Pre	10	
	10	637-639	
E10638	Pre	8	Type 1 diabetes mellitus with other oral complications
	Pre	10	
	10	637-639	
E10641	Pre	8	Type 1 diabetes mellitus with hypoglycemia with coma
	Pre	10	
	10	637-639	
E10649	Pre	8	Type 1 diabetes mellitus with hypoglycemia without coma
	Pre	10	
	10	637-639	
E1065	Pre	8	Type 1 diabetes mellitus with hyperglycemia
	Pre	10	
	10	637-639	
E1069	Pre	8	Type 1 diabetes mellitus with other specified complication
	Pre	10	
	10	637-639	
E108	Pre	8	Type 1 diabetes mellitus with unspecified complications
	Pre	10	
	10	637-639	
E109	Pre	8	Type 1 diabetes mellitus without complications
	Pre	10	
	10	637-639	
E1100	Pre	8	Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
	Pre	10	
	10	637-639	
E1101	Pre	8	Type 2 diabetes mellitus with hyperosmolarity with coma
	Pre	10	
	10	637-639	
E1121	Pre	8	Type 2 diabetes mellitus with diabetic nephropathy
	Pre	10	
	11	698-700	
E1122	Pre	8	Type 2 diabetes mellitus with diabetic chronic kidney disease
	Pre	10	
	11	698-700	
E1129	Pre	8	Type 2 diabetes mellitus with other diabetic kidney complication
	Pre	10	
	11	698-700	
E11311	Pre	8	Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E11319	Pre	8	Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E11321	Pre	8	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E11329	Pre	8	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E11331	Pre	8	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E11339	Pre	8	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E11341	Pre	8	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E11349	Pre	8	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E11351	Pre	8	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E11359	Pre	8	Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E1136	Pre	8	Type 2 diabetes mellitus with diabetic cataract
	Pre	10	
	2	124-125	
E1139	Pre	8	Type 2 diabetes mellitus with other diabetic ophthalmic complication
	Pre	10	
	2	124-125	
E1140	Pre	8	"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
	Pre	10	
	1	073-074	
E1141	Pre	8	Type 2 diabetes mellitus with diabetic mononeuropathy
	Pre	10	
	1	073-074	
E1142	Pre	8	Type 2 diabetes mellitus with diabetic polyneuropathy
	Pre	10	
	1	073-074	
E1143	Pre	8	Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy
	Pre	10	
	1	073-074	
E1144	Pre	8	Type 2 diabetes mellitus with diabetic amyotrophy
	Pre	10	
	1	073-074	
E1149	Pre	8	Type 2 diabetes mellitus with other diabetic neurological complication
	Pre	10	
	1	073-074	
E1151	Pre	8	Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
	Pre	10	
	5	299-301	
E1152	Pre	8	Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
	Pre	10	
	5	299-301	
E1159	Pre	8	Type 2 diabetes mellitus with other circulatory complications
	Pre	10	
	5	299-301	
E11610	Pre	8	Type 2 diabetes mellitus with diabetic neuropathic arthropathy
	Pre	10	
	1	073-074	
E11618	Pre	8	Type 2 diabetes mellitus with other diabetic arthropathy
	Pre	10	
	10	637-639	
E11620	Pre	8	Type 2 diabetes mellitus with diabetic dermatitis
	Pre	10	
	10	637-639	
E11621	Pre	8	Type 2 diabetes mellitus with foot ulcer
	Pre	10	
	10	637-639	
E11622	Pre	8	Type 2 diabetes mellitus with other skin ulcer
	Pre	10	
	10	637-639	
E11628	Pre	8	Type 2 diabetes mellitus with other skin complications
	Pre	10	
	10	637-639	
E11630	Pre	8	Type 2 diabetes mellitus with periodontal disease
	Pre	10	
	10	637-639	
E11638	Pre	8	Type 2 diabetes mellitus with other oral complications
	Pre	10	
	10	637-639	
E11641	Pre	8	Type 2 diabetes mellitus with hypoglycemia with coma
	Pre	10	
	10	637-639	
E11649	Pre	8	Type 2 diabetes mellitus with hypoglycemia without coma
	Pre	10	
	10	637-639	
E1165	Pre	8	Type 2 diabetes mellitus with hyperglycemia
	Pre	10	
	10	637-639	
E1169	Pre	8	Type 2 diabetes mellitus with other specified complication
	Pre	10	
	10	637-639	
E118	Pre	8	Type 2 diabetes mellitus with unspecified complications
	Pre	10	
	10	637-639	
E119	Pre	8	Type 2 diabetes mellitus without complications
	Pre	10	
	10	637-639	
E1300	Pre	8	Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
	Pre	10	
	10	637-639	
E1301	Pre	8	Other specified diabetes mellitus with hyperosmolarity with coma
	Pre	10	
	10	637-639	
E1310	Pre	8	Other specified diabetes mellitus with ketoacidosis without coma
	Pre	10	
	10	637-639	
E1311	Pre	8	Other specified diabetes mellitus with ketoacidosis with coma
	Pre	10	
	10	637-639	
E1321	Pre	8	Other specified diabetes mellitus with diabetic nephropathy
	Pre	10	
	11	698-700	
E1322	Pre	8	Other specified diabetes mellitus with diabetic chronic kidney disease
	Pre	10	
	11	698-700	
E1329	Pre	8	Other specified diabetes mellitus with other diabetic kidney complication
	Pre	10	
	11	698-700	
E13311	Pre	8	Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E13319	Pre	8	Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E13321	Pre	8	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E13329	Pre	8	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E13331	Pre	8	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E13339	Pre	8	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E13341	Pre	8	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E13349	Pre	8	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E13351	Pre	8	Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E13359	Pre	8	Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E1336	Pre	8	Other specified diabetes mellitus with diabetic cataract
	Pre	10	
	2	124-125	
E1339	Pre	8	Other specified diabetes mellitus with other diabetic ophthalmic complication
	Pre	10	
	2	124-125	
E1340	Pre	8	"Other specified diabetes mellitus with diabetic neuropathy, unspecified"
	Pre	10	
	1	073-074	
E1341	Pre	8	Other specified diabetes mellitus with diabetic mononeuropathy
	Pre	10	
	1	073-074	
E1342	Pre	8	Other specified diabetes mellitus with diabetic polyneuropathy
	Pre	10	
	1	073-074	
E1343	Pre	8	Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy
	Pre	10	
	1	073-074	
E1344	Pre	8	Other specified diabetes mellitus with diabetic amyotrophy
	Pre	10	
	1	073-074	
E1349	Pre	8	Other specified diabetes mellitus with other diabetic neurological complication
	Pre	10	
	1	073-074	
E1351	Pre	8	Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene
	Pre	10	
	5	299-301	
E1352	Pre	8	Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene
	Pre	10	
	5	299-301	
E1359	Pre	8	Other specified diabetes mellitus with other circulatory complications
	Pre	10	
	5	299-301	
E13610	Pre	8	Other specified diabetes mellitus with diabetic neuropathic arthropathy
	Pre	10	
	1	073-074	
E13618	Pre	8	Other specified diabetes mellitus with other diabetic arthropathy
	Pre	10	
	10	637-639	
E13620	Pre	8	Other specified diabetes mellitus with diabetic dermatitis
	Pre	10	
	10	637-639	
E13621	Pre	8	Other specified diabetes mellitus with foot ulcer
	Pre	10	
	10	637-639	
E13622	Pre	8	Other specified diabetes mellitus with other skin ulcer
	Pre	10	
	10	637-639	
E13628	Pre	8	Other specified diabetes mellitus with other skin complications
	Pre	10	
	10	637-639	
E13630	Pre	8	Other specified diabetes mellitus with periodontal disease
	Pre	10	
	10	637-639	
E13638	Pre	8	Other specified diabetes mellitus with other oral complications
	Pre	10	
	10	637-639	
E13641	Pre	8	Other specified diabetes mellitus with hypoglycemia with coma
	Pre	10	
	10	637-639	
E13649	Pre	8	Other specified diabetes mellitus with hypoglycemia without coma
	Pre	10	
	10	637-639	
E1365	Pre	8	Other specified diabetes mellitus with hyperglycemia
	Pre	10	
	10	637-639	
E1369	Pre	8	Other specified diabetes mellitus with other specified complication
	Pre	10	
	10	637-639	
E138	Pre	8	Other specified diabetes mellitus with unspecified complications
	Pre	10	
	10	637-639	
E139	Pre	8	Other specified diabetes mellitus without complications
	Pre	10	
	10	637-639	
E15	10	640-641	Nondiabetic hypoglycemic coma
	15	793	
E160	10	643-645	Drug-induced hypoglycemia without coma
E161	10	643-645	Other hypoglycemia
E162	10	640-641	"Hypoglycemia, unspecified"
E163	10	643-645	Increased secretion of glucagon
E164	6	380-384	Increased secretion of gastrin
E168	10	643-645	Other specified disorders of pancreatic internal secretion
E169	10	643-645	"Disorder of pancreatic internal secretion, unspecified"
E200	10	643-645	Idiopathic hypoparathyroidism
	15	793	
E201	10	640-641	Pseudohypoparathyroidism
E208	10	643-645	Other hypoparathyroidism
	15	793	
E209	10	643-645	"Hypoparathyroidism, unspecified"
	15	793	
E210	10	643-645	Primary hyperparathyroidism
